word,context_count,pos_count,neg_count,pmi_positive,pmi_negative,sentiment_score,sentiment_score_weighted,semantic_sentiment_score,neutrality_penalty,source
abilities,142,96,46,-0.040990372905458296,0.08949106279276073,-0.13048143569821902,-0.6130735985280527,-0.21587098539720162,0.647887323943662,steam
ability,151,109,42,0.05357383132991477,-0.13041109030588843,0.1839849216358032,0.9356388067220802,0.41515099371112174,0.5562913907284768,steam
able,383,238,145,-0.16258857273894609,0.3143847343304076,-0.4769733070693537,-2.724290098240389,-0.6615116948729927,0.7571801566579635,steam
abrupt,11,8,3,0.06436262724077046,-0.1587928916757107,0.22315551891648117,0.002654652104065286,0.0012066600473024027,0.5454545454545454,steam
abruptly,13,7,6,-0.36929055020542056,0.6001990088204943,-0.9694895590259148,-2.576278412289587,-0.19817526248381426,0.9230769230769231,steam
absolute,146,89,57,-0.1902968820355521,0.3587416815251547,-0.5490385635607068,-2.669804529584863,-0.5851626366213398,0.7808219178082192,steam
absolutely,538,435,103,0.21720347405753412,-0.6692856091329757,0.8864890831905099,5.6537493204433575,3.4889308074111427,0.3828996282527881,steam
absurd,13,6,7,-0.5916829715418686,0.8225914301569422,-1.414274401698811,-3.593081222205952,-0.2763908632466115,0.9230769230769231,steam
abysmal,13,5,8,-0.8547173773756622,1.015236508099338,-1.8699538854750002,-4.628429392326007,-1.068099090536771,0.7692307692307692,steam
accents,10,7,3,0.009221073048309167,-0.021289367925776,0.030510440974085166,-0.40490066076072373,-0.1619602643042895,0.6,steam
accept,13,5,8,-0.8547173773756622,1.015236508099338,-1.8699538854750002,-4.628429392326007,-1.068099090536771,0.7692307692307692,steam
acceptable,16,9,7,-0.30628075267962007,0.5230311482980344,-0.8293119009776545,-2.399529399533664,-0.299941174941708,0.875,steam
access,40,17,23,-0.7106710077589554,0.9173100874100807,-1.627981095169036,-5.881905221063985,-0.8822857831595978,0.85,steam
accessible,11,4,7,-0.9356373727592295,1.063599529660737,-1.9992369024199665,-4.589445149781985,-1.2516668590314501,0.7272727272727273,steam
accidentally,18,12,6,-0.06116825484308857,0.13071372551927396,-0.19188198036236254,-0.811993516298214,-0.27066450543273796,0.6666666666666667,steam
according,22,9,13,-0.7657123713169172,0.9566843257442251,-1.7223966970611424,-5.186996402247798,-0.9430902549541454,0.8181818181818181,steam
account,139,38,101,-1.3472193134018542,1.2549466362687176,-2.602165949670572,-12.630244115733516,-5.72449913159145,0.5467625899280575,steam
